0	30	0	
579	99	0	
1360	27	0	
3257	80	0	
599	13	80	
169	138	93	
120	124	231	
119	110	355	
224	97	465	
479	21	482	
208	4	228	
856	88	0	
121	50	88	
751	68	0	
135	325	0	
133	144	0	
183	53	144	
115	19	197	
276	100	216	
986	10	0	
267	6	0	
1811	385	0	
135	20	0	
549	135	20	
250	23	155	
1792	72	0	
246	23	0	
191	91	0	
1416	156	0	
659	379	0	
216	227	0	
55	92	227	
126	132	319	
890	8	224	
1171	159	140	
986	57	0	
148	260	0	
1280	20	0	
1179	127	0	
1176	22	0	
176	110	0	
289	61	0	
491	43	0	
1863	8	0	
1256	127	0	
792	131	0	
370	91	0	
519	132	0	
281	320	0	
1434	121	0	
627	15	0	
992	47	0	
92	57	47	
1478	157	0	
1481	68	0	
101	79	68	
86	98	79	
88	86	98	
1651	285	0	
516	27	0	
864	83	0	
83	185	83	
1666	358	0	
621	27	0	
763	277	0	
108	43	0	
1769	12	0	
1599	180	0	
2106	87	0	
361	135	0	
178	86	135	
904	24	86	
346	59	110	
2123	54	0	
83	35	54	
74	3	89	
567	13	38	
529	360	51	
77	207	411	
296	72	207	
269	219	279	
279	6	498	
2546	31	225	
177	109	37	
1333	8	0	
2799	19	0	
1689	2	0	
1345	132	0	
723	8	0	
582	68	0	
811	58	0	
2069	179	0	
182	190	0	
96	29	190	
136	43	219	
1015	628	72	
727	125	700	
1895	110	125	
521	278	110	
1256	125	278	
851	66	125	
285	114	191	
552	16	305	
358	80	196	
1024	258	210	
179	35	468	
564	132	503	
345	60	521	
81	60	581	
2271	69	287	
1475	5	189	
2063	7	74	
1352	189	12	
530	51	0	
158	22	51	
1106	9	22	
1825	254	0	
865	35	0	
1332	145	0	
91	35	0	
1381	3	0	
1366	28	0	
429	36	0	
192	97	0	
1110	17	0	
503	83	0	
569	177	0	
1483	57	0	
605	6	0	
88	147	0	
573	34	0	
1948	18	0	
575	110	0	
160	98	0	
1349	35	0	
1294	16	0	
1340	148	0	
88	57	0	
1146	102	0	
411	2	102	
99	111	104	
2027	35	0	
2449	279	0	
3303	3	0	
3681	120	0	
244	124	0	
371	333	0	
162	40	333	
183	94	373	
429	313	467	
763	31	447	
470	402	344	
78	7	746	
154	102	753	
352	152	855	
549	33	694	
847	98	727	
1187	118	283	
1035	131	249	
241	14	380	
1784	22	263	
316	164	167	
978	340	200	
90	49	540	
932	260	389	
108	231	649	
78	139	880	
73	91	1019	
1221	20	770	
1326	122	481	
909	5	372	
424	168	377	
961	10	406	
1305	191	325	
963	254	374	
94	111	628	
820	324	566	
1170	186	689	
1110	103	621	
126	55	724	
641	166	668	
726	155	510	
518	147	665	
1462	57	626	
1140	196	525	
530	15	721	
498	14	736	
140	1	584	
79	68	585	
327	277	653	
163	12	930	
107	89	942	
90	179	1031	
662	33	1055	
2245	6	884	
506	170	890	
260	54	864	
1062	33	820	
1508	78	576	
1158	34	553	
567	1	408	
379	473	409	
5612	241	0	
1272	93	0	
88	43	0	
1669	91	0	
1184	87	0	
218	632	0	
77	43	632	
842	67	675	
136	88	110	
107	19	198	
123	12	217	
78	99	229	
1040	8	0	
143	40	8	
203	68	48	
667	6	116	
254	12	74	
145	47	86	
735	39	65	
606	39	104	
74	150	143	
3402	30	0	
1059	298	0	
488	142	0	
743	5	0	
585	24	5	
2941	69	0	
923	26	0	
587	130	0	
2283	56	0	
563	86	0	
1203	69	0	
722	193	0	
1078	81	0	
379	83	0	
90	22	0	
861	31	0	
188	420	0	
2568	90	0	
3702	163	0	
103	7	0	
885	320	7	
310	100	0	
373	5	100	
116	116	105	
153	55	221	
319	67	176	
175	126	243	
902	39	364	
858	37	287	
1503	187	76	
76	50	263	
636	14	313	
1013	196	251	
1032	59	260	
1256	122	59	
76	128	181	
300	75	250	
560	443	325	
143	149	768	
490	98	795	
569	33	893	
704	56	798	
656	30	779	
76	55	809	
562	10	864	
834	93	431	
867	82	375	
802	79	457	
432	340	438	
137	112	778	
80	53	890	
3520	60	666	
174	308	726	
774	217	952	
1468	325	750	
1453	24	963	
2348	29	566	
77	14	595	
1461	49	392	
97	114	116	
592	74	230	
79	357	304	
1918	79	431	
650	130	510	
920	393	566	
91	24	959	
982	28	626	
515	113	575	
84	241	688	
1407	31	799	
80	18	830	
175	125	848	
124	226	580	
1352	31	641	
108	17	672	
153	175	689	
453	69	864	
1791	220	518	
781	59	512	
60	74	571	
648	20	645	
277	45	442	
760	54	487	
233	56	472	
1034	125	308	
3089	44	235	
285	4	225	
1576	5	173	
329	3	178	
