0	30	0	
588	99	0	
1358	27	0	
966	80	0	
609	13	0	
182	138	0	
182	124	0	
169	110	0	
224	97	0	
478	21	0	
208	4	0	
856	88	0	
169	50	0	
751	68	0	
169	325	0	
170	144	0	
183	53	0	
169	19	0	
276	100	0	
986	10	0	
267	6	0	
1811	385	0	
171	20	0	
549	135	0	
248	23	0	
1795	72	0	
246	23	0	
190	91	0	
1416	156	0	
659	379	0	
216	227	0	
173	92	0	
173	132	0	
890	8	0	
1171	159	0	
984	57	0	
179	260	0	
1280	20	0	
1179	127	0	
1176	22	0	
178	110	0	
289	61	0	
491	43	0	
1864	8	0	
1256	127	0	
793	131	0	
370	91	0	
517	132	0	
284	320	0	
1433	121	0	
617	15	0	
997	47	0	
172	57	0	
1490	157	0	
1522	68	0	
306	79	0	
175	98	0	
171	86	0	
1668	285	0	
518	27	0	
864	83	0	
175	185	0	
1630	358	0	
655	27	0	
766	277	0	
170	43	0	
1766	12	0	
1604	180	0	
2104	87	0	
360	135	0	
179	86	0	
904	24	0	
347	59	0	
2123	54	0	
120	35	0	
118	3	0	
448	13	0	
280	360	0	
201	207	0	
420	72	0	
269	219	0	
279	6	0	
2545	31	0	
177	109	0	
1334	8	0	
2799	19	0	
1690	2	0	
1340	132	0	
727	8	0	
582	68	0	
812	58	0	
2070	179	0	
181	190	0	
114	29	0	
124	43	0	
1009	628	0	
727	125	0	
1896	110	0	
520	278	0	
1257	125	0	
852	66	0	
283	114	0	
555	16	0	
342	80	0	
1037	258	0	
179	35	0	
565	132	0	
344	60	0	
117	60	0	
2211	69	0	
1477	5	0	
2062	7	0	
1352	189	0	
530	51	0	
158	22	0	
1104	9	0	
1824	254	0	
867	35	0	
1334	145	0	
133	35	0	
1337	3	0	
1364	28	0	
427	36	0	
191	97	0	
1112	17	0	
505	83	0	
569	177	0	
1485	57	0	
603	6	0	
124	147	0	
522	34	0	
1944	18	0	
581	110	0	
154	98	0	
1354	35	0	
1287	16	0	
1343	148	0	
127	57	0	
1087	102	0	
1292	2	0	
154	111	0	
1103	35	0	
2443	279	0	
3302	3	0	
3680	120	0	
252	124	0	
362	333	0	
163	40	0	
183	94	0	
430	313	0	
761	31	0	
474	402	0	
240	7	0	
154	102	0	
352	152	0	
545	33	0	
851	98	0	
1186	118	0	
1033	131	0	
243	14	0	
1781	22	0	
318	164	0	
981	340	0	
124	49	0	
897	260	0	
122	231	0	
122	139	0	
118	91	0	
1119	20	0	
1326	122	0	
908	5	0	
425	168	0	
960	10	0	
1302	191	0	
964	254	0	
123	111	0	
792	324	0	
1170	186	0	
1109	103	0	
124	55	0	
643	166	0	
725	155	0	
520	147	0	
1461	57	0	
1142	196	0	
530	15	0	
496	14	0	
138	1	0	
136	68	0	
282	277	0	
162	12	0	
123	89	0	
122	179	0	
606	33	0	
2246	6	0	
506	170	0	
259	54	0	
1058	33	0	
1512	78	0	
1158	34	0	
563	1	0	
383	473	0	
5609	241	0	
1275	93	0	
125	43	0	
1633	91	0	
1184	87	0	
218	632	0	
125	43	0	
792	67	0	
135	88	0	
124	19	0	
142	12	0	
122	99	0	
963	8	0	
1038	40	0	
198	68	0	
667	6	0	
253	12	0	
145	47	0	
736	39	0	
606	39	0	
128	150	0	
